target,source,year,size,count,date
Germany,China,2007,1.497,1,31/12/2007
Germany,China,2008,60.907,1,31/12/2008
Germany,China,2010,8.033,1,31/12/2010
Germany,China,2011,28.863,3,31/12/2011
Germany,China,2012,1243.13,10,31/12/2012
Germany,China,2013,167.916,4,31/12/2013
Germany,China,2014,2316.032,16,31/12/2014
Guinea,China,2014,121,1,31/12/2014
Hungary,China,2008,22.892,1,31/12/2008
Hungary,China,2010,1700.539,1,31/12/2010
India,China,1994,0.259,1,31/12/1994
India,China,2008,7.5,1,31/12/2008
India,China,2012,25,1,31/12/2012
India,China,2013,2.524,2,31/12/2013
Indonesia,China,2002,854.492,3,31/12/2002
Indonesia,China,2003,164,1,31/12/2003
Indonesia,China,2004,105.1,1,31/12/2004
Indonesia,China,2007,2.356,1,31/12/2007
Indonesia,China,2008,80,1,31/12/2008
Indonesia,China,2011,10,1,31/12/2011
Indonesia,China,2012,692.87,5,31/12/2012
Indonesia,China,2014,9.5,2,31/12/2014
Israel,China,2010,1612.966,3,31/12/2010
Israel,China,2013,221.63,1,31/12/2013
Israel,China,2014,90,2,31/12/2014
Italy,China,2007,3.035,1,31/12/2007
Italy,China,2008,753.202,2,31/12/2008
Italy,China,2009,14.637,1,31/12/2009
Italy,China,2010,4.895,1,31/12/2010
Italy,China,2011,484.232,2,31/12/2011
Italy,China,2012,17.202,2,31/12/2012
Italy,China,2013,188.647,3,31/12/2013
Italy,China,2014,56.347,3,31/12/2014
Jamaica,China,2010,9,1,31/12/2010
Japan,China,1988,33.773,1,31/12/1988
Japan,China,1990,19.674,1,31/12/1990
Japan,China,1999,0.192,1,31/12/1999
Japan,China,2004,3.625,1,31/12/2004
Japan,China,2006,113.733,2,31/12/2006
Japan,China,2007,309.5,1,31/12/2007
Japan,China,2009,78.908,4,31/12/2009
Japan,China,2010,41.086,4,31/12/2010
Japan,China,2011,1706.114,6,31/12/2011
Japan,China,2012,46.351,4,31/12/2012
Japan,China,2013,22.179,2,31/12/2013
Japan,China,2014,68.055,2,31/12/2014
Jordan,China,2006,0.021,1,31/12/2006
Kazakhstan,China,2003,202.3,2,31/12/2003
Kazakhstan,China,2007,2603.897,1,31/12/2007
Kazakhstan,China,2011,200,1,31/12/2011
Kazakhstan,China,2012,114.361,1,31/12/2012
Kazakhstan,China,2013,630.838,2,31/12/2013
Kazakhstan,China,2014,37.5,1,31/12/2014
Kenya,China,2008,25,1,31/12/2008
Kyrgyzstan,China,2007,1.1,1,31/12/2007
Latvia,China,2013,4.001,1,31/12/2013
Liberia,China,2010,68.455,1,31/12/2010
Luxembourg,China,2014,413.097,1,31/12/2014
Malaysia,China,2000,1.6,1,31/12/2000
Malaysia,China,2002,11.467,1,31/12/2002
Malaysia,China,2007,11.021,1,31/12/2007
Malaysia,China,2008,0.6,2,31/12/2008
Malaysia,China,2010,94.614,2,31/12/2010
Mexico,China,1994,8.541,1,31/12/1994
Mexico,China,2008,56.983,1,31/12/2008
Mexico,China,2010,0.797,1,31/12/2010
Mexico,China,2014,19.281,3,31/12/2014
Mongolia,China,1999,4.336,1,31/12/1999
Mongolia,China,2005,93,1,31/12/2005
Mongolia,China,2006,4.738,1,31/12/2006
Mongolia,China,2008,14.675,1,31/12/2008
Mongolia,China,2010,3.5,1,31/12/2010
Netherlands,China,2006,99.9,1,31/12/2006
Netherlands,China,2007,148.497,1,31/12/2007
Netherlands,China,2008,2.564,1,31/12/2008
Netherlands,China,2009,55.104,2,31/12/2009
Netherlands,China,2010,1678.954,3,31/12/2010
Netherlands,China,2011,296.527,4,31/12/2011
Netherlands,China,2012,18.963,2,31/12/2012
Netherlands,China,2013,0.615,1,31/12/2013
Netherlands,China,2014,443.202,1,31/12/2014
New Zealand,China,1988,205.335,1,31/12/1988
New Zealand,China,1991,2.48,1,31/12/1991
New Zealand,China,1993,10.96,1,31/12/1993
New Zealand,China,1995,14.47,1,31/12/1995
New Zealand,China,1996,1.043,1,31/12/1996
New Zealand,China,2002,7.665,1,31/12/2002
New Zealand,China,2010,58.079,1,31/12/2010
New Zealand,China,2012,2.522,1,31/12/2012
New Zealand,China,2013,77.137,1,31/12/2013
New Zealand,China,2014,813.358,2,31/12/2014
Norway,China,1992,47.322,2,31/12/1992
Norway,China,2002,104.006,1,31/12/2002
Norway,China,2008,2500.946,1,31/12/2008
Norway,China,2011,2438.695,3,31/12/2011
Norway,China,2012,180,1,31/12/2012
Oman,China,2012,0.361,1,31/12/2012
Pakistan,China,2007,534,2,31/12/2007
Panama,China,1994,14.291,1,31/12/1994
Panama,China,1998,12,1,31/12/1998
Peru,China,1998,7.515,1,31/12/1998
Peru,China,2008,100.095,1,31/12/2008
Peru,China,2012,1.2,1,31/12/2012
Peru,China,2013,2600,1,31/12/2013
Romania,China,2009,1.716,1,31/12/2009
Russian Fed,China,2006,3501,1,31/12/2006
Russian Fed,China,2010,1,1,31/12/2010
Singapore,China,1992,0.315,1,31/12/1992
Singapore,China,1993,13.478,1,31/12/1993
Singapore,China,1994,14.76,1,31/12/1994
Singapore,China,1995,4.467,1,31/12/1995
Singapore,China,1996,0.636,1,31/12/1996
Singapore,China,1997,2.797,1,31/12/1997
Singapore,China,1998,7.405,2,31/12/1998
Singapore,China,1999,6.296,3,31/12/1999
Singapore,China,2000,15.71,1,31/12/2000
Singapore,China,2002,29.974,6,31/12/2002
Singapore,China,2004,4.32,1,31/12/2004
Singapore,China,2005,2.833,1,31/12/2005
Singapore,China,2006,984.937,3,31/12/2006
Singapore,China,2007,36.21,3,31/12/2007
Singapore,China,2008,3384.384,4,31/12/2008
Singapore,China,2009,1357.535,4,31/12/2009
Singapore,China,2010,78.81,2,31/12/2010
Singapore,China,2011,377.702,9,31/12/2011
Singapore,China,2012,63.386,2,31/12/2012
Singapore,China,2013,207.353,6,31/12/2013
Singapore,China,2014,1181.572,5,31/12/2014
South Africa,China,2006,201.559,1,31/12/2006
South Africa,China,2007,6.5,1,31/12/2007
South Africa,China,2010,868.976,1,31/12/2010
South Africa,China,2011,1328.887,1,31/12/2011
South Africa,China,2012,74.96,2,31/12/2012
South Africa,China,2013,205.349,3,31/12/2013
South Africa,China,2014,225,1,31/12/2014
South Korea,China,2002,380,1,31/12/2002
South Korea,China,2004,1194.56,2,31/12/2004
South Korea,China,2008,4.701,2,31/12/2008
South Korea,China,2009,177,1,31/12/2009
South Korea,China,2010,128.398,3,31/12/2010
Spain,China,1993,12.767,1,31/12/1993
Spain,China,1994,4.997,1,31/12/1994
Spain,China,2012,3.316,1,31/12/2012
Spain,China,2013,66.134,1,31/12/2013
Spain,China,2014,366.045,2,31/12/2014
Sri Lanka,China,2004,83,1,31/12/2004
Sweden,China,2009,196.953,1,31/12/2009
Sweden,China,2010,1500,1,31/12/2010
Sweden,China,2011,194.473,3,31/12/2011
Sweden,China,2012,3.288,1,31/12/2012
Switzerland,China,2011,4.065,1,31/12/2011
Switzerland,China,2012,507.944,1,31/12/2012
Switzerland,China,2013,4.344,1,31/12/2013
Switzerland,China,2014,65.774,2,31/12/2014
Tajikistan,China,2010,30.762,1,31/12/2010
Tajikistan,China,2011,564.542,1,31/12/2011
Tajikistan,China,2012,72.695,1,31/12/2012
Thailand,China,2006,12.789,1,31/12/2006
Thailand,China,2010,38.409,1,31/12/2010
Thailand,China,2011,7.962,3,31/12/2011
Thailand,China,2012,42.853,3,31/12/2012
Turkey,China,2009,300,1,31/12/2009
Turkey,China,2014,380.566,2,31/12/2014
Uganda,China,2011,2900,1,31/12/2011
United Kingdom,China,2004,1907.6,1,31/12/2004
United Kingdom,China,2005,4141.179,1,31/12/2005
United Kingdom,China,2006,6.668,1,31/12/2006
United Kingdom,China,2007,55.1,1,31/12/2007
United Kingdom,China,2009,36.516,2,31/12/2009
United Kingdom,China,2010,437.355,3,31/12/2010
United Kingdom,China,2012,1938.36,1,31/12/2012
United Kingdom,China,2013,552.704,3,31/12/2013
United Kingdom,China,2014,2972.902,6,31/12/2014
United States,China,1988,58.2,2,31/12/1988
United States,China,1989,20,1,31/12/1989
United States,China,1992,20,1,31/12/1992
United States,China,1993,30.8,2,31/12/1993
United States,China,1994,37.5,1,31/12/1994
United States,China,1995,100,3,31/12/1995
United States,China,1996,1.5,1,31/12/1996
United States,China,1997,13.85,2,31/12/1997
United States,China,1998,1.91,2,31/12/1998
United States,China,1999,8,1,31/12/1999
United States,China,2000,2.75,1,31/12/2000
United States,China,2001,94.446,2,31/12/2001
United States,China,2002,84.7,6,31/12/2002
United States,China,2003,66.27,2,31/12/2003
United States,China,2005,18505.68,7,31/12/2005
United States,China,2006,46.1,5,31/12/2006
United States,China,2007,663.163,9,31/12/2007
United States,China,2008,434.649,9,31/12/2008
United States,China,2009,163.485,6,31/12/2009
United States,China,2010,1662.297,15,31/12/2010
United States,China,2011,503.55,14,31/12/2011
United States,China,2012,5066.983,17,31/12/2012
United States,China,2013,8634.406,20,31/12/2013
United States,China,2014,6144.729,34,31/12/2014
Vietnam,China,2000,1.37,1,31/12/2000
Vietnam,China,2001,30,1,31/12/2001
Vietnam,China,2010,17.64,2,31/12/2010
Zambia,China,1998,20,1,31/12/1998
Zimbabwe,China,2006,12.453,1,31/12/2006
Argentina,Colombia,1993,1.7,1,31/12/1993
Bahamas,Colombia,1991,1.742,1,31/12/1991
Brazil,Colombia,2007,47.639,3,31/12/2007
Brazil,Colombia,2009,0.6,1,31/12/2009
Brazil,Colombia,2013,18.063,1,31/12/2013
Canada,Colombia,2012,730.642,2,31/12/2012
Canada,Colombia,2013,1591.683,2,31/12/2013
Canada,Colombia,2014,110.074,1,31/12/2014
Chile,Colombia,2006,34,1,31/12/2006
Chile,Colombia,2009,499.019,1,31/12/2009
Chile,Colombia,2011,17.1,1,31/12/2011
Chile,Colombia,2013,758,1,31/12/2013
Costa Rica,Colombia,2006,119,1,31/12/2006
Costa Rica,Colombia,2011,4.7,1,31/12/2011
Costa Rica,Colombia,2012,120,1,31/12/2012
Costa Rica,Colombia,2013,55,1,31/12/2013
Ecuador,Colombia,1994,7.2,1,31/12/1994
Ecuador,Colombia,2011,1.373,1,31/12/2011
El Salvador,Colombia,2009,30,1,31/12/2009
El Salvador,Colombia,2010,104.8,2,31/12/2010
El Salvador,Colombia,2011,98,1,31/12/2011
El Salvador,Colombia,2012,801,1,31/12/2012
Finland,Colombia,2006,2.658,1,31/12/2006
Guatemala,Colombia,2010,635,3,31/12/2010
Guyana,Colombia,2014,69.281,1,31/12/2014
Honduras,Colombia,2013,305.585,1,31/12/2013
Mexico,Colombia,2002,8,1,31/12/2002
Mexico,Colombia,2007,9.5,1,31/12/2007
Mexico,Colombia,2009,9.715,1,31/12/2009
Mexico,Colombia,2011,3794,2,31/12/2011
Mexico,Colombia,2013,113,1,31/12/2013
Netherlands,Colombia,2011,52.201,1,31/12/2011
Nicaragua,Colombia,2013,95.452,1,31/12/2013
Pakistan,Colombia,2010,0.731,1,31/12/2010
Panama,Colombia,2001,260,1,31/12/2001
Panama,Colombia,2004,25.001,1,31/12/2004
Panama,Colombia,2008,15.801,1,31/12/2008
Panama,Colombia,2009,167,2,31/12/2009
Panama,Colombia,2010,1970,2,31/12/2010
Panama,Colombia,2011,116.052,3,31/12/2011
Panama,Colombia,2012,196.178,4,31/12/2012
Panama,Colombia,2013,2606,2,31/12/2013
Panama,Colombia,2014,1223.46,2,31/12/2014
Peru,Colombia,1998,45.163,1,31/12/1998
Peru,Colombia,2006,103,2,31/12/2006
Peru,Colombia,2009,2.022,1,31/12/2009
Peru,Colombia,2010,70.275,2,31/12/2010
Peru,Colombia,2011,111,1,31/12/2011
Peru,Colombia,2013,256.655,1,31/12/2013
Portugal,Colombia,2007,14.8,1,31/12/2007
United Kingdom,Colombia,2010,10.031,1,31/12/2010
United States,Colombia,1989,53.1,2,31/12/1989
United States,Colombia,2001,6.5,1,31/12/2001
United States,Colombia,2005,257.5,2,31/12/2005
United States,Colombia,2006,435,1,31/12/2006
United States,Colombia,2010,84,1,31/12/2010
United States,Colombia,2011,760.21,2,31/12/2011
United States,Colombia,2014,720,1,31/12/2014
Chile,Costa Rica,1997,10.3,1,31/12/1997
Chile,Costa Rica,1998,10.3,1,31/12/1998
Ecuador,Costa Rica,2000,2.6,1,31/12/2000
Guatemala,Costa Rica,2006,86,1,31/12/2006
Mexico,Costa Rica,2000,100,1,31/12/2000
Mexico,Costa Rica,2001,20,1,31/12/2001
Mexico,Costa Rica,2013,50,1,31/12/2013
Nicaragua,Costa Rica,2008,21.5,1,31/12/2008
Panama,Costa Rica,2013,86,1,31/12/2013
Spain,Costa Rica,2007,537.851,1,31/12/2007
Spain,Costa Rica,2012,648.93,1,31/12/2012
United States,Costa Rica,2003,12.5,1,31/12/2003
United States,Costa Rica,2006,11,1,31/12/2006
United States,Costa Rica,2012,388,1,31/12/2012
Czech Republic,Croatia,1999,26.5,1,31/12/1999
Denmark,Croatia,2002,3.562,1,31/12/2002
Germany,Croatia,2001,42.709,1,31/12/2001
Germany,Croatia,2005,15,1,31/12/2005
Poland,Croatia,1998,4.8,1,31/12/1998
Russian Fed,Croatia,1998,20,1,31/12/1998
Slovenia,Croatia,2013,233.643,1,31/12/2013
Slovenia,Croatia,2014,29.6,1,31/12/2014
Spain,Croatia,2003,10.02,1,31/12/2003
Spain,Croatia,2006,25.626,1,31/12/2006
United Kingdom,Croatia,1999,3.3,1,31/12/1999
United Kingdom,Croatia,2000,4.993,1,31/12/2000
United States,Croatia,2002,211.9,1,31/12/2002
Yugoslavia,Croatia,2002,4.059,1,31/12/2002
Yugoslavia,Croatia,2003,1.866,1,31/12/2003
Canada,Cuba,1995,341,1,31/12/1995
China,Cuba,2014,11.056,1,31/12/2014
Spain,Cuba,1994,7.5,1,31/12/1994
Bulgaria,Cyprus,2000,13.299,2,31/12/2000
Bulgaria,Cyprus,2001,0.63,1,31/12/2001
Bulgaria,Cyprus,2008,10.715,1,31/12/2008
Canada,Cyprus,2008,4025,1,31/12/2008
China,Cyprus,2012,41.832,1,31/12/2012
Czech Republic,Cyprus,2001,1.515,1,31/12/2001
Czech Republic,Cyprus,2014,286.929,1,31/12/2014
Denmark,Cyprus,2006,1,1,31/12/2006
Denmark,Cyprus,2010,28.091,1,31/12/2010
Denmark,Cyprus,2011,31.588,1,31/12/2011
Estonia,Cyprus,2007,9.159,1,31/12/2007
Estonia,Cyprus,2008,79,1,31/12/2008
Ethiopia,Cyprus,2009,0.69,1,31/12/2009
Finland,Cyprus,2006,35,1,31/12/2006
Germany,Cyprus,2006,171.014,1,31/12/2006
Germany,Cyprus,2007,285.772,2,31/12/2007
Germany,Cyprus,2009,53.479,2,31/12/2009
Germany,Cyprus,2014,0.072,2,31/12/2014
Greece,Cyprus,1999,57.567,1,31/12/1999
Greece,Cyprus,2000,22.368,1,31/12/2000
Greece,Cyprus,2001,1.075,1,31/12/2001
Greece,Cyprus,2005,5.4,1,31/12/2005
Greece,Cyprus,2006,1895.52,1,31/12/2006
Greece,Cyprus,2007,34.909,1,31/12/2007
Greece,Cyprus,2008,10.525,1,31/12/2008
Greece,Cyprus,2010,25.944,1,31/12/2010
Greece,Cyprus,2013,5.284,1,31/12/2013
Greece,Cyprus,2014,2.677,1,31/12/2014
Guatemala,Cyprus,2011,170,1,31/12/2011
Israel,Cyprus,2014,20,1,31/12/2014
Italy,Cyprus,2012,58.465,1,31/12/2012
Kyrgyzstan,Cyprus,2012,1,1,31/12/2012
Latvia,Cyprus,2014,71.469,1,31/12/2014
Lebanon,Cyprus,2000,0.27,1,31/12/2000
Netherlands,Cyprus,2008,126.959,1,31/12/2008
Norway,Cyprus,1996,0.933,1,31/12/1996
Norway,Cyprus,2006,62.513,2,31/12/2006
Norway,Cyprus,2010,69.1,2,31/12/2010
Norway,Cyprus,2011,83.559,1,31/12/2011
Poland,Cyprus,2007,0.019,1,31/12/2007
Poland,Cyprus,2008,12.844,2,31/12/2008
Poland,Cyprus,2009,43.569,2,31/12/2009
Poland,Cyprus,2010,178.98,3,31/12/2010
Poland,Cyprus,2011,78.834,2,31/12/2011
Poland,Cyprus,2012,116.301,5,31/12/2012
Poland,Cyprus,2013,1770.661,4,31/12/2013
Poland,Cyprus,2014,107.757,3,31/12/2014
Portugal,Cyprus,2010,30.654,1,31/12/2010
Romania,Cyprus,2001,2.372,3,31/12/2001
Romania,Cyprus,2006,12.313,2,31/12/2006
Romania,Cyprus,2007,4.355,1,31/12/2007
Romania,Cyprus,2011,6.655,1,31/12/2011
Romania,Cyprus,2012,0.789,1,31/12/2012
Romania,Cyprus,2014,24.908,2,31/12/2014
Russian Fed,Cyprus,1999,1.946,1,31/12/1999
Russian Fed,Cyprus,2006,169.953,4,31/12/2006
Russian Fed,Cyprus,2007,429.707,4,31/12/2007
Russian Fed,Cyprus,2008,1708.794,7,31/12/2008
Russian Fed,Cyprus,2009,312.208,6,31/12/2009
Russian Fed,Cyprus,2010,49.492,4,31/12/2010
Russian Fed,Cyprus,2011,451.103,5,31/12/2011
Russian Fed,Cyprus,2012,6105.837,7,31/12/2012
Russian Fed,Cyprus,2013,46.564,3,31/12/2013
Russian Fed,Cyprus,2014,119.074,4,31/12/2014
Singapore,Cyprus,2008,479.674,1,31/12/2008
Singapore,Cyprus,2013,590,1,31/12/2013
Ukraine,Cyprus,2007,2417.589,3,31/12/2007
Ukraine,Cyprus,2008,47.438,1,31/12/2008
Ukraine,Cyprus,2013,0.052,1,31/12/2013
Ukraine,Cyprus,2014,0.015,1,31/12/2014
United Kingdom,Cyprus,2001,5.202,1,31/12/2001
United Kingdom,Cyprus,2004,9.045,1,31/12/2004
United Kingdom,Cyprus,2010,74.448,4,31/12/2010
United Kingdom,Cyprus,2012,25.29,1,31/12/2012
United States,Cyprus,2000,43,1,31/12/2000
United States,Cyprus,2008,380,2,31/12/2008
United States,Cyprus,2010,30.06,2,31/12/2010
United States,Cyprus,2012,12,1,31/12/2012
Australia,Czech Republic,2010,13.712,1,31/12/2010
Australia,Czech Republic,2012,23.846,1,31/12/2012
Bulgaria,Czech Republic,1997,6.25,1,31/12/1997
Bulgaria,Czech Republic,2011,178.093,1,31/12/2011
Bulgaria,Czech Republic,2012,89.075,1,31/12/2012
Canada,Czech Republic,2002,0.575,1,31/12/2002
Croatia,Czech Republic,2003,0.516,1,31/12/2003
Croatia,Czech Republic,2014,4.413,1,31/12/2014
Cyprus,Czech Republic,1997,3.602,1,31/12/1997
Germany,Czech Republic,2007,5.099,1,31/12/2007
Germany,Czech Republic,2009,513.864,1,31/12/2009
Germany,Czech Republic,2011,16.253,1,31/12/2011
Indonesia,Czech Republic,2011,4.285,1,31/12/2011
Italy,Czech Republic,2011,13.236,1,31/12/2011
Luxembourg,Czech Republic,2008,2.17,1,31/12/2008
Netherlands,Czech Republic,2011,1.474,1,31/12/2011
Poland,Czech Republic,1996,0.775,1,31/12/1996
Poland,Czech Republic,1997,34.274,1,31/12/1997
Poland,Czech Republic,2005,9.245,1,31/12/2005
Poland,Czech Republic,2006,788.896,3,31/12/2006
Poland,Czech Republic,2013,0.06,1,31/12/2013
Romania,Czech Republic,1998,8,1,31/12/1998
Romania,Czech Republic,2005,296.04,2,31/12/2005
Slovenia,Czech Republic,2012,89.861,1,31/12/2012
Slovenia,Czech Republic,2014,63.601,1,31/12/2014
Turkey,Czech Republic,2007,602.552,1,31/12/2007
Ukraine,Czech Republic,2001,10,1,31/12/2001
Australia,Denmark,1994,1.663,1,31/12/1994
Australia,Denmark,1999,8.468,1,31/12/1999
Australia,Denmark,2000,1.324,1,31/12/2000
Australia,Denmark,2001,100,1,31/12/2001
Australia,Denmark,2006,72.55,1,31/12/2006
Australia,Denmark,2012,224.836,1,31/12/2012
Australia,Denmark,2013,5,1,31/12/2013
Austria,Denmark,2007,129.619,1,31/12/2007
Belarus,Denmark,2010,0.171,1,31/12/2010
Belgium,Denmark,1997,9.795,1,31/12/1997
Belgium,Denmark,1999,35.392,1,31/12/1999
Belgium,Denmark,2001,9.025,2,31/12/2001
Belgium,Denmark,2002,73.86,1,31/12/2002
Belgium,Denmark,2007,205.997,1,31/12/2007
Belgium,Denmark,2014,650.952,1,31/12/2014
Brazil,Denmark,1997,28.706,1,31/12/1997
Brazil,Denmark,2000,9.185,2,31/12/2000
Brazil,Denmark,2007,7.475,1,31/12/2007
Brazil,Denmark,2008,12.218,1,31/12/2008
Brazil,Denmark,2010,2400,1,31/12/2010
Brazil,Denmark,2014,50.296,1,31/12/2014
Bulgaria,Denmark,2002,9.192,1,31/12/2002
Canada,Denmark,2000,14.738,2,31/12/2000
Canada,Denmark,2002,12.808,2,31/12/2002
Canada,Denmark,2007,897.597,2,31/12/2007
Canada,Denmark,2013,80.249,1,31/12/2013
China,Denmark,2000,3.221,1,31/12/2000
China,Denmark,2003,26.4,2,31/12/2003
China,Denmark,2004,23.225,4,31/12/2004
China,Denmark,2009,19.034,1,31/12/2009
China,Denmark,2010,296.452,2,31/12/2010
China,Denmark,2012,3.208,1,31/12/2012
Croatia,Denmark,1994,22.523,1,31/12/1994
Croatia,Denmark,1998,7.366,1,31/12/1998
Croatia,Denmark,2002,11,1,31/12/2002
Czech Republic,Denmark,1995,4.773,1,31/12/1995
Czech Republic,Denmark,2005,4.168,1,31/12/2005
Czech Republic,Denmark,2006,160.694,2,31/12/2006
Estonia,Denmark,2012,19.511,2,31/12/2012
Finland,Denmark,1991,5.996,1,31/12/1991
Finland,Denmark,1992,66.357,1,31/12/1992
Finland,Denmark,2000,126.074,1,31/12/2000
Finland,Denmark,2002,10.408,1,31/12/2002
Finland,Denmark,2004,35.008,1,31/12/2004
Finland,Denmark,2006,5296.974,2,31/12/2006
Finland,Denmark,2007,13.069,1,31/12/2007
Finland,Denmark,2012,209.489,1,31/12/2012
Finland,Denmark,2013,491.721,1,31/12/2013
France,Denmark,1992,30.543,1,31/12/1992
France,Denmark,1996,5.039,1,31/12/1996
France,Denmark,1998,27.95,2,31/12/1998
France,Denmark,1999,4.884,1,31/12/1999
France,Denmark,2000,1329.937,6,31/12/2000
France,Denmark,2001,67.378,2,31/12/2001
France,Denmark,2002,154.466,2,31/12/2002
France,Denmark,2003,4.124,1,31/12/2003
France,Denmark,2004,795.044,2,31/12/2004
France,Denmark,2005,59.695,1,31/12/2005
France,Denmark,2007,11.681,1,31/12/2007
France,Denmark,2010,65.001,1,31/12/2010
France,Denmark,2011,55.463,1,31/12/2011
France,Denmark,2013,73.718,1,31/12/2013
Germany,Denmark,1995,35.861,3,31/12/1995
Germany,Denmark,1997,334.102,2,31/12/1997
Germany,Denmark,1998,32.728,3,31/12/1998
Germany,Denmark,1999,114.64,1,31/12/1999
Germany,Denmark,2000,38.305,3,31/12/2000
Germany,Denmark,2001,111.16,3,31/12/2001
Germany,Denmark,2002,36.956,1,31/12/2002
Germany,Denmark,2004,345.265,2,31/12/2004
Germany,Denmark,2005,252.445,4,31/12/2005
Germany,Denmark,2006,96.138,4,31/12/2006
Germany,Denmark,2007,260.804,7,31/12/2007
Germany,Denmark,2008,45.344,1,31/12/2008
Germany,Denmark,2009,38.195,1,31/12/2009
Germany,Denmark,2010,3.88,1,31/12/2010
Germany,Denmark,2011,338.112,1,31/12/2011
Germany,Denmark,2013,1.409,1,31/12/2013
Germany,Denmark,2014,526.46,1,31/12/2014
Greece,Denmark,2001,0.756,1,31/12/2001
Hungary,Denmark,2007,612.505,1,31/12/2007
India,Denmark,1997,10.838,1,31/12/1997
India,Denmark,2003,7,1,31/12/2003
India,Denmark,2005,8.549,2,31/12/2005
India,Denmark,2007,116.817,1,31/12/2007
India,Denmark,2012,4.389,1,31/12/2012
Israel,Denmark,2000,19.998,1,31/12/2000
Italy,Denmark,1997,15,1,31/12/1997
Italy,Denmark,1999,32.736,2,31/12/1999
Italy,Denmark,2002,0.174,1,31/12/2002
Italy,Denmark,2007,361.295,3,31/12/2007
Italy,Denmark,2009,1.435,1,31/12/2009
Italy,Denmark,2010,12.266,1,31/12/2010
Italy,Denmark,2011,6.8,1,31/12/2011
Italy,Denmark,2012,14.47,1,31/12/2012
Japan,Denmark,2001,8.2,1,31/12/2001
Japan,Denmark,2009,2.251,1,31/12/2009
Japan,Denmark,2012,1.811,1,31/12/2012
Kazakhstan,Denmark,2003,30,1,31/12/2003
Latvia,Denmark,2003,7.33,1,31/12/2003
Latvia,Denmark,2004,23.409,2,31/12/2004
Latvia,Denmark,2007,23.499,1,31/12/2007
Latvia,Denmark,2013,10.799,2,31/12/2013
Lithuania,Denmark,1999,3.499,1,31/12/1999
Lithuania,Denmark,2001,36.274,2,31/12/2001
Lithuania,Denmark,2008,3.04,1,31/12/2008
Lithuania,Denmark,2012,8.398,2,31/12/2012
Luxembourg,Denmark,2008,1170.778,1,31/12/2008
Malaysia,Denmark,1994,73.983,2,31/12/1994
Malaysia,Denmark,1995,62.775,2,31/12/1995
Mexico,Denmark,2001,1.188,1,31/12/2001
Mexico,Denmark,2005,0.181,1,31/12/2005
Mexico,Denmark,2006,18.206,3,31/12/2006
Netherlands,Denmark,1989,22.688,1,31/12/1989
Netherlands,Denmark,1991,5.187,1,31/12/1991
Netherlands,Denmark,1996,137.143,2,31/12/1996
Netherlands,Denmark,1997,72.558,1,31/12/1997
Netherlands,Denmark,1998,20.203,1,31/12/1998
Netherlands,Denmark,1999,597.783,2,31/12/1999
Netherlands,Denmark,2000,1147.706,2,31/12/2000
Netherlands,Denmark,2001,252.64,2,31/12/2001
Netherlands,Denmark,2002,48.627,1,31/12/2002
Netherlands,Denmark,2003,28.735,4,31/12/2003
Netherlands,Denmark,2005,64.122,2,31/12/2005
Netherlands,Denmark,2009,496.342,1,31/12/2009
Netherlands,Denmark,2010,26.259,1,31/12/2010
Netherlands,Denmark,2011,3.973,1,31/12/2011
Netherlands,Denmark,2012,7.831,1,31/12/2012
Norway,Denmark,1990,1.652,1,31/12/1990
Norway,Denmark,1992,0.041,1,31/12/1992
Norway,Denmark,1993,2.538,1,31/12/1993
Norway,Denmark,1994,4.458,1,31/12/1994
Norway,Denmark,1996,32.623,1,31/12/1996
Norway,Denmark,1998,14.9,2,31/12/1998
Norway,Denmark,1999,742.14,5,31/12/1999
Norway,Denmark,2001,130.649,6,31/12/2001
Norway,Denmark,2002,17.714,1,31/12/2002
Norway,Denmark,2003,10.302,2,31/12/2003
Norway,Denmark,2004,13.46,2,31/12/2004
Norway,Denmark,2005,6.804,1,31/12/2005
Norway,Denmark,2006,364.356,4,31/12/2006
Norway,Denmark,2007,76.437,2,31/12/2007
Norway,Denmark,2008,14.946,1,31/12/2008
Norway,Denmark,2011,0.699,1,31/12/2011
Norway,Denmark,2012,16.634,1,31/12/2012
Norway,Denmark,2013,5.814,2,31/12/2013
Norway,Denmark,2014,2194.608,2,31/12/2014
Peru,Denmark,2010,11.5,1,31/12/2010
Poland,Denmark,1997,3.187,1,31/12/1997
Poland,Denmark,2000,19.709,1,31/12/2000
Poland,Denmark,2001,56.367,2,31/12/2001
Poland,Denmark,2003,1.376,1,31/12/2003
Poland,Denmark,2005,74.581,3,31/12/2005
Poland,Denmark,2006,0.326,2,31/12/2006
Poland,Denmark,2007,50.433,2,31/12/2007
Poland,Denmark,2008,11.016,2,31/12/2008
Poland,Denmark,2009,6.637,1,31/12/2009
Poland,Denmark,2014,18.224,1,31/12/2014
Portugal,Denmark,2006,22.29,1,31/12/2006
Romania,Denmark,2013,2.84,1,31/12/2013
Russian Fed,Denmark,2005,0.317,1,31/12/2005
Russian Fed,Denmark,2006,198.015,3,31/12/2006
Russian Fed,Denmark,2009,9,1,31/12/2009
Russian Fed,Denmark,2010,50,1,31/12/2010
Singapore,Denmark,2000,4.796,1,31/12/2000
Singapore,Denmark,2001,1.27,1,31/12/2001
Singapore,Denmark,2005,32.133,2,31/12/2005
